"idhash","demog1","demog2","ipip1","ipip2","ipip3","ipip4","ipip5","ipip6","ipip7","ipip8","ipip9","ipip10","ipip11","ipip12","ipip13","ipip14","ipip15","ipip16","ipip17","ipip18","ipip19","ipip20","ipip21","ipip22","ipip23","ipip24","ipip25","ipip26","ipip27","ipip28","ipip29","ipip30","ipip31","ipip32","ipip33","ipip34","ipip35","ipip36","ipip37","ipip38","ipip39","ipip40","ipip41","ipip42","ipip43","ipip44","ipip45","ipip46","ipip47","ipip48","ipip49","ipip50","ipip51","ipip52","ipip53","ipip54","ipip55","ipip56","ipip57","ipip58","ipip59","ipip60","ipip61","ipip62","ipip63","ipip64","ipip65","ipip66","ipip67","ipip68","ipip69","ipip70","ipip71","ipip72","ipip73","ipip74","ipip75","ipip76","ipip77","ipip78","ipip79","ipip80","ipip81","ipip82","ipip83","ipip84","ipip85","ipip86","ipip87","ipip88","ipip89","ipip90","ipip91","ipip92","ipip93","ipip94","ipip95","ipip96","ipip97","ipip98","ipip99","ipip100","ipip101","ipip102","ipip103","ipip104","ipip105","ipip106","ipip107","ipip108","ipip109","ipip110","ipip111","ipip112","ipip113","ipip114","ipip115","ipip116","ipip117","ipip118","ipip119","ipip120","ipip121","ipip122","ipip123","ipip124","ipip125","ipip126","ipip127","ipip128","ipip129","ipip130","ipip131","ipip132","ipip133","ipip134","ipip135","ipip136","ipip137","ipip138","ipip139","ipip140","ipip141","ipip142","ipip143","ipip144","ipip145","ipip146","ipip147","ipip148","ipip149","ipip150","ipip151","ipip152","ipip153","ipip154","ipip155","ipip156","ipip157","ipip158","ipip159","ipip160","ipip161","ipip162","ipip163","ipip164","ipip165","ipip166","ipip167","ipip168","ipip169","ipip170","ipip171","ipip172","ipip173","ipip174","ipip175","ipip176","ipip177","ipip178","ipip179","ipip180","ipip181","ipip182","ipip183","ipip184","ipip185","ipip186","ipip187","ipip188","ipip189","ipip190","ipip191","ipip192","ipip193","ipip194","ipip195","ipip196","ipip197","ipip198","ipip199","ipip200","ipip201","ipip202","ipip203","ipip204","ipip205","ipip206","ipip207","ipip208","ipip209","ipip210","ipip211","ipip212","ipip213","ipip214","ipip215","ipip216","ipip217","ipip218","ipip219","ipip220","ipip221","ipip222","ipip223","ipip224","ipip225","ipip226","ipip227","ipip228","ipip229","ipip230","ipip231","ipip232","ipip233","ipip234","ipip235","ipip236","ipip237","ipip238","ipip239","ipip240","ipip241","ipip242","ipip243","ipip244","ipip245","ipip246","ipip247","ipip248","ipip249","ipip250","ipip251","ipip252","ipip253","ipip254","ipip255","ipip256","ipip257","ipip258","ipip259","ipip260","ipip261","ipip262","ipip263","ipip264","ipip265","ipip266","ipip267","ipip268","ipip269","ipip270","ipip271","ipip272","ipip273","ipip274","ipip275","ipip276","ipip277","ipip278","ipip279","ipip280","ipip281","ipip282","ipip283","ipip284","ipip285","ipip286","ipip287","ipip288","ipip289","ipip290","ipip291","ipip292","ipip293","ipip294","ipip295","ipip296","ipip297","ipip298","ipip299","ipip300","panas1","panas2","panas3","panas4","panas5","panas6","panas7","panas8","panas9","panas10","panas11","panas12","panas13","panas14","panas15","panas16","panas17","panas18","panas19","panas20","pwb1","pwb2","pwb3","pwb4","pwb5","pwb6","pwb7","pwb8","pwb9","pwb10","pwb11","pwb12","pwb13","pwb14","pwb15","pwb16","pwb17","pwb18","pwb19","pwb20","pwb21","pwb22","pwb23","pwb24","pwb25","pwb26","pwb27","pwb28","pwb29","pwb30","pwb31","pwb32","pwb33","pwb34","pwb35","pwb36","pwb37","pwb38","pwb39","pwb40","pwb41","pwb42","pwb43","pwb44","pwb45","pwb46","pwb47","pwb48","pwb49","pwb50","pwb51","pwb52","pwb53","pwb54","pwb55","pwb56","pwb57","pwb58","pwb59","pwb60","pwb61","pwb62","pwb63","pwb64","pwb65","pwb66","pwb67","pwb68","pwb69","pwb70","pwb71","pwb72","pwb73","pwb74","pwb75","pwb76","pwb77","pwb78","pwb79","pwb80","pwb81","pwb82","pwb83","pwb84","swl1","swl2","swl3","swl4","swl5","skip_count","na_count","retain"
"085775a403b36dbd3d830a6c492c6017","Female","30-39",5,3,4,3,2,3,4,4,2,4,3,4,2,2,4,3,2,2,3,1,2,1,1,1,2,1,1,3,4,4,2,2,1,1,3,2,4,5,5,1,3,4,1,1,5,4,4,3,1,1,2,1,1,2,2,4,4,3,1,1,5,5,5,5,5,1,1,1,1,2,4,4,5,4,3,1,1,1,1,1,5,4,4,4,4,1,2,1,1,1,5,5,5,4,4,1,3,2,3,2,5,3,4,4,3,2,3,1,5,1,2,4,1,3,5,4,5,4,2,1,4,1,1,4,3,4,2,1,2,2,1,5,3,5,2,4,5,4,2,3,4,3,3,3,5,3,2,1,1,3,1,5,5,4,4,2,2,5,1,3,2,1,2,4,5,3,4,4,2,5,3,3,3,1,4,3,3,4,4,3,4,4,4,4,1,4,1,3,3,1,4,4,4,1,2,1,4,2,1,1,4,4,3,4,2,1,1,1,2,1,4,1,3,5,2,4,4,1,1,3,2,2,5,4,1,4,3,3,1,3,1,3,4,1,2,2,3,2,4,2,4,5,4,4,4,4,1,1,1,1,4,5,4,4,4,1,1,1,1,2,4,5,5,4,3,3,1,1,1,2,4,5,4,4,5,4,4,1,1,1,3,5,5,4,5,1,1,1,1,3,4,3,4,1,1,3,1,2,1,2,4,1,4,2,4,1,1,1,4,5,3,5,1,5,4,5,5,1,5,1,6,5,6,1,6,6,1,6,3,6,1,5,4,4,1,5,2,2,6,4,5,1,5,1,5,5,6,5,1,5,4,4,6,1,1,6,5,5,5,4,1,1,5,4,4,5,6,6,5,5,5,6,6,4,2,1,6,2,5,2,6,4,1,6,3,1,4,6,5,5,5,6,1,1,1,3,6,4,4,4,6,2,1,4,6,5,6,6,7,0,0,TRUE
"c0936f96d303693b7216777b9c61daa8","Female","20",4,1,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,4,3,3,2,1,2,2,3,1,2,4,3,4,3,4,5,4,5,4,1,5,3,4,5,3,4,3,5,2,2,2,1,2,2,3,3,3,2,3,3,3,4,4,3,3,1,2,3,3,4,4,4,3,1,1,4,4,2,5,5,3,5,3,3,2,3,3,3,5,5,4,4,3,3,3,4,3,2,4,3,4,4,4,4,5,4,3,3,3,4,4,1,1,3,4,4,4,5,4,5,3,3,2,5,5,5,5,4,5,1,1,1,1,4,5,3,2,1,1,4,4,1,4,3,5,3,5,5,2,3,2,3,4,3,4,4,3,5,4,4,4,4,3,3,4,3,2,5,3,2,2,2,3,3,3,2,1,3,5,2,4,5,1,2,3,3,3,2,5,4,4,5,4,2,4,2,3,2,2,3,4,3,2,4,3,4,2,3,3,3,2,3,2,3,2,4,2,3,4,3,3,3,3,5,2,3,3,3,3,2,3,3,1,2,2,3,2,4,4,5,3,5,5,3,4,3,3,3,3,1,3,3,2,3,2,3,3,4,4,5,4,3,3,5,3,3,3,4,2,4,4,4,3,3,3,3,3,2,4,3,3,3,3,2,3,1,3,3,4,5,4,3,3,3,2,2,4,3,3,4,3,3,3,5,1,5,1,3,1,2,1,5,3,2,5,1,3,2,4,5,4,1,3,4,5,5,2,4,4,4,2,3,5,4,4,3,3,2,4,4,3,4,5,3,4,5,3,4,5,2,4,4,3,3,5,4,1,2,4,5,4,2,5,2,2,5,4,3,5,4,4,4,3,3,6,5,4,2,2,6,3,5,3,4,2,3,5,1,2,4,2,4,6,3,3,4,4,4,2,4,3,3,4,5,2,2,2,6,6,6,4,2,0,0,TRUE
"0d7c36bf3093ed21c44b0cd90b406f04","Male","22",2,1,2,1,2,4,2,5,2,4,2,1,2,1,4,4,2,4,4,2,1,1,1,2,2,1,1,4,4,4,2,1,2,2,2,2,4,3,4,5,4,4,4,4,4,2,2,2,1,1,2,1,1,2,2,4,5,4,4,4,4,4,4,4,4,4,5,2,1,1,4,4,3,4,4,3,3,2,2,3,4,2,4,4,4,1,2,2,4,1,2,2,2,4,4,4,4,4,2,2,5,4,4,4,3,4,5,3,2,2,2,5,4,4,4,4,4,5,1,1,4,2,4,5,2,4,4,2,2,2,4,5,3,3,5,1,4,2,3,5,2,4,2,5,5,2,2,2,2,4,4,5,3,2,4,2,2,1,1,2,5,4,4,4,5,1,1,2,1,2,3,5,5,1,3,3,2,3,2,1,4,4,3,2,4,2,4,2,4,1,2,2,3,2,4,1,3,4,4,1,4,4,4,4,2,4,3,2,2,1,4,3,3,3,4,2,2,3,2,1,2,2,1,2,1,4,4,5,4,3,4,2,2,2,2,2,2,3,4,2,4,4,4,4,4,4,4,3,1,2,2,3,2,2,2,4,4,5,4,5,3,4,4,4,2,3,2,4,1,2,3,4,4,2,4,5,4,1,2,2,3,4,2,2,4,4,4,3,2,2,4,2,2,4,4,4,3,3,4,4,4,1,3,1,4,2,2,2,3,4,3,2,1,4,2,4,4,3,3,1,4,4,5,1,6,5,1,6,1,6,3,5,1,4,2,5,2,2,5,4,4,4,6,3,5,3,2,6,2,2,4,2,6,1,2,6,6,3,5,5,2,1,2,1,2,6,5,5,4,5,4,6,4,2,2,2,3,4,6,2,2,3,1,6,1,1,6,3,3,6,4,6,2,2,2,1,5,5,5,6,5,2,2,2,6,6,6,7,6,0,0,TRUE
"37028ad7cb6bdf81dc38826f7e87f16d","Female","27",4,1,1,2,4,4,2,4,3,4,4,4,2,3,3,3,2,3,3,5,1,1,1,1,1,1,4,4,5,5,1,4,1,1,3,2,5,5,3,5,4,2,2,4,5,2,3,2,5,2,1,1,1,1,3,4,4,4,4,2,5,5,5,4,5,4,1,1,2,2,5,5,5,4,5,1,1,1,1,1,5,4,4,4,4,1,1,1,1,2,5,4,5,5,4,3,2,4,2,1,5,4,5,5,3,3,5,3,5,1,3,5,2,4,5,3,4,5,1,1,1,3,1,1,3,1,5,3,1,2,4,5,5,5,2,1,1,2,1,1,1,5,4,3,2,2,2,2,2,4,3,5,5,5,5,3,1,4,1,1,3,1,4,5,1,2,5,2,3,4,5,4,2,1,4,1,4,1,4,1,4,3,4,4,3,4,1,2,4,1,1,4,4,3,4,1,2,1,1,2,4,4,5,4,2,4,3,3,2,1,3,2,2,4,4,1,4,2,5,4,2,2,4,1,4,5,5,3,3,5,3,4,5,3,3,4,1,3,2,4,5,4,5,3,5,4,2,1,3,1,4,4,5,4,5,2,4,4,4,1,4,5,2,4,4,2,1,2,1,1,5,4,5,5,5,5,5,1,2,1,5,5,4,4,5,2,2,2,2,1,3,3,5,1,3,4,2,4,4,5,4,1,5,4,3,1,1,3,5,1,3,3,1,2,1,4,4,1,4,1,5,2,5,1,5,6,1,6,4,6,1,5,1,3,1,4,2,2,6,1,6,2,6,1,6,6,3,6,4,6,1,2,5,2,2,5,6,1,2,6,1,2,2,2,3,6,6,5,6,1,5,5,5,1,1,1,6,2,4,2,1,1,5,6,2,1,6,6,6,5,3,5,1,4,3,1,4,6,6,4,6,6,2,2,6,5,5,7,6,0,0,TRUE
"85a84c36662527dca9b6b6ab97eb0fe6","Female","21",4,5,3,2,4,4,3,4,1,4,2,2,4,2,1,3,3,3,5,3,3,3,3,3,2,3,1,3,4,3,3,5,3,4,3,3,3,3,2,3,2,2,1,1,4,3,2,4,5,3,2,2,5,3,5,3,3,4,3,4,2,3,3,3,4,2,2,5,2,3,3,1,3,3,4,3,3,3,1,3,4,3,1,4,2,3,3,2,4,3,3,2,1,4,3,3,4,5,3,1,4,4,3,3,1,2,3,1,5,2,3,3,4,3,3,3,4,3,2,2,3,3,3,1,1,4,2,1,2,2,3,5,4,5,5,1,4,1,1,3,3,3,3,4,4,4,2,1,3,2,4,4,3,4,3,4,3,1,1,1,2,2,3,3,3,3,1,3,3,3,4,3,3,2,3,1,3,3,3,1,1,3,1,3,4,4,3,3,3,1,5,4,1,1,3,1,1,1,1,1,4,2,3,3,3,2,3,1,1,1,3,4,5,3,1,1,1,1,1,3,4,4,5,4,3,2,3,3,2,1,3,4,4,1,1,1,3,3,3,3,4,3,3,4,3,5,3,3,2,2,4,4,5,4,3,1,1,1,2,5,4,3,5,3,3,1,2,2,1,3,3,5,3,2,3,3,4,5,3,3,2,3,3,3,3,2,2,4,4,3,3,2,3,3,1,3,3,1,3,3,3,3,3,1,4,1,1,1,3,3,1,3,1,4,2,4,3,1,3,1,5,3,6,1,4,4,6,2,4,6,1,4,6,4,2,4,5,4,5,4,5,1,5,4,5,6,3,6,3,3,5,3,6,1,3,4,4,4,6,4,2,3,6,4,4,6,4,4,4,3,3,6,3,4,2,5,4,4,6,6,4,2,3,5,3,3,1,6,2,6,4,2,4,4,4,3,4,3,1,4,3,3,3,4,4,4,4,4,3,0,0,TRUE
"f0b1fff559769c9b24fd83ca766efaea","Female","30-39",4,3,3,4,4,3,3,2,2,4,4,4,3,2,3,2,2,1,3,4,4,3,3,3,2,3,4,2,3,3,3,3,2,2,2,3,4,4,3,5,4,3,3,2,4,2,3,3,2,1,3,2,3,3,3,4,3,3,3,3,3,4,5,5,5,3,2,3,1,3,4,4,3,4,4,3,3,2,2,3,4,4,3,3,4,3,3,2,2,3,3,3,3,3,3,5,3,4,3,3,5,4,4,3,4,4,4,2,2,1,4,5,5,4,5,4,5,4,1,1,4,4,4,3,3,3,2,2,4,2,5,5,3,4,5,1,1,1,1,1,3,4,5,3,4,3,3,2,2,3,2,5,5,3,4,4,3,4,3,3,3,3,4,3,4,2,2,3,1,3,3,1,2,1,3,1,4,5,5,3,3,3,2,3,4,4,3,3,3,4,2,3,4,3,3,3,2,1,1,2,4,4,5,5,3,4,1,3,1,2,5,3,4,5,2,4,3,4,4,4,5,3,3,4,4,4,4,5,3,3,4,4,4,3,2,3,3,2,4,5,4,4,4,3,3,3,2,3,2,2,3,3,4,3,3,2,3,3,4,3,4,4,3,3,4,3,2,3,2,3,3,4,3,3,4,4,5,2,5,5,3,3,3,4,4,2,4,4,3,4,3,5,3,3,2,4,2,5,3,3,4,2,3,2,3,1,1,1,3,2,4,3,1,3,2,3,4,1,3,1,4,5,5,2,5,6,4,6,4,5,3,4,4,2,1,4,2,2,6,5,5,3,4,4,6,6,4,4,4,6,4,5,5,2,4,4,5,4,3,5,2,3,6,4,4,5,4,5,5,5,6,6,4,5,4,2,5,3,3,5,4,4,2,5,1,2,6,5,3,5,4,5,4,2,2,2,5,4,5,6,5,2,4,2,3,6,3,2,3,0,0,TRUE
"903beab1c4ba28dc03a3f2b77d49b0a3","Female","50+",4,2,4,4,4,2,2,4,1,4,2,4,4,2,1,3,4,4,3,4,5,3,4,4,4,1,4,1,4,2,4,5,4,2,2,5,1,2,4,2,4,4,5,4,5,1,2,2,4,1,4,3,3,4,2,2,4,4,4,2,4,1,4,4,5,5,4,4,2,5,2,1,5,2,1,4,4,4,2,4,1,4,1,5,4,5,4,2,4,4,2,2,2,4,4,4,4,4,2,4,4,4,2,4,1,2,1,1,5,5,4,2,1,1,2,2,2,4,2,2,4,1,4,4,1,4,2,5,1,4,4,2,5,3,5,1,2,4,4,1,4,5,2,5,5,1,1,1,4,1,4,5,5,5,3,2,3,4,5,4,1,2,4,4,4,4,4,4,5,4,4,1,4,1,4,1,4,2,2,1,2,2,2,2,4,4,4,5,4,2,4,5,1,1,1,1,4,1,1,1,5,4,5,5,2,2,4,1,2,1,5,5,5,1,4,4,1,1,1,2,4,1,4,5,1,3,3,4,1,1,5,5,4,5,1,4,1,1,2,4,2,4,4,1,2,4,4,4,3,4,4,5,4,4,2,2,1,2,1,2,5,4,5,5,4,2,2,1,1,2,1,5,1,4,5,5,4,2,1,1,1,1,5,2,2,4,5,4,2,4,5,4,2,4,2,4,4,1,4,2,4,2,3,1,3,3,2,1,4,3,2,4,4,4,2,3,4,2,3,2,5,3,4,2,5,6,6,2,6,6,2,5,5,2,6,4,1,6,4,6,5,3,4,6,6,2,5,5,4,2,6,6,6,2,5,5,4,1,6,6,2,6,6,5,6,5,4,5,6,4,1,6,3,6,6,6,5,2,1,3,6,4,6,6,1,5,3,5,5,6,3,6,5,4,6,2,4,5,6,5,5,3,6,6,2,5,5,3,1,0,0,TRUE
"1c261b62dd7046b71677b1853d12479f","Female","20",1,1,1,4,1,5,4,4,2,5,1,1,1,1,1,5,5,1,4,4,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,2,4,4,5,5,1,2,1,1,2,4,5,4,5,1,2,1,1,4,1,4,4,4,4,4,4,4,4,5,5,2,1,1,1,1,4,4,5,4,4,1,1,1,1,1,4,4,4,5,4,1,2,2,4,1,4,4,4,4,4,5,2,4,5,2,5,4,4,4,2,4,4,1,1,1,4,4,3,5,5,5,5,4,2,4,4,4,3,2,2,3,4,4,2,4,3,4,4,3,4,2,2,3,1,2,2,4,4,3,5,3,3,1,3,1,4,5,4,4,4,1,1,2,1,3,4,4,3,4,3,2,3,1,1,1,3,2,3,1,3,1,4,3,4,5,5,5,4,4,4,5,1,1,2,1,5,3,2,1,2,1,1,1,1,1,5,3,5,4,4,1,2,1,1,1,5,1,4,3,1,2,1,1,2,1,4,2,5,3,2,3,4,4,2,1,5,4,4,2,1,1,4,3,2,2,5,4,4,5,4,4,2,3,2,2,4,5,4,4,4,4,4,2,1,5,2,5,5,5,3,1,1,1,1,2,4,5,5,5,5,4,3,1,1,1,4,5,4,4,5,1,1,1,1,1,3,4,4,2,2,3,1,4,2,4,5,1,5,1,5,1,1,1,5,5,1,4,1,5,1,5,4,1,4,1,5,2,4,1,6,5,1,6,1,6,1,5,1,1,1,5,1,1,6,2,6,2,6,1,6,6,2,6,1,5,1,1,6,1,1,4,5,5,6,6,1,1,1,2,1,6,6,6,6,5,5,6,6,3,1,2,4,1,6,3,1,2,1,6,1,1,6,2,6,6,6,6,1,1,1,1,5,4,5,6,6,1,1,3,6,6,6,6,6,0,0,TRUE
"270603bd1fc67b4dab2fa03e29873c17","Female","21",3,3,2,2,3,4,3,3,2,4,2,2,3,2,2,2,2,4,4,4,3,2,1,2,1,1,2,4,4,3,4,5,4,2,3,3,3,4,3,4,3,3,3,4,4,3,3,3,3,2,3,2,2,4,3,3,3,4,4,4,5,5,4,4,4,2,2,1,2,1,4,5,5,4,5,1,1,2,1,2,4,4,3,4,4,2,2,1,3,4,5,5,4,4,4,4,3,4,4,2,5,5,4,4,3,4,4,2,1,2,4,5,5,4,5,5,5,4,3,2,3,3,4,5,3,3,2,2,2,2,3,4,4,4,5,3,1,3,1,1,3,4,4,4,4,3,3,3,3,1,4,5,5,4,3,3,2,4,3,3,3,2,3,4,3,3,4,2,4,4,3,2,3,3,3,3,3,3,3,4,5,4,4,5,5,4,2,4,2,1,4,4,3,2,2,1,3,2,2,1,4,3,5,4,5,2,2,2,1,1,4,4,3,3,2,2,2,1,1,1,2,4,4,4,3,4,3,3,4,2,4,5,5,2,2,3,4,2,4,3,4,3,4,4,4,4,3,3,1,2,4,4,4,4,4,4,2,3,2,3,4,4,5,5,4,3,2,3,2,3,4,3,4,4,3,4,3,1,4,3,3,3,1,3,4,3,2,4,3,4,3,3,4,4,3,3,5,4,3,2,4,1,5,1,3,1,2,2,5,4,1,4,1,4,3,4,4,2,5,2,5,4,4,1,4,4,2,2,3,4,3,4,1,2,2,5,3,4,3,4,4,2,4,3,4,4,3,5,2,4,2,4,4,2,3,4,4,2,3,4,2,1,2,4,2,4,4,4,4,3,5,5,4,4,2,4,4,2,4,3,2,4,3,5,2,2,4,3,4,4,4,4,2,3,2,2,4,4,3,3,4,4,3,3,4,4,4,4,4,0,0,TRUE
"5db73964b6c45fd05fa086e487ecd4ac","Male","16 and under",3,2,2,2,2,4,4,2,4,4,2,2,2,2,2,4,4,2,4,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,4,2,4,4,2,2,2,4,2,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,2,4,4,4,2,2,2,2,4,4,2,4,4,4,2,4,2,4,2,4,4,4,4,2,4,2,4,4,2,4,2,2,2,2,2,4,2,2,2,2,4,4,4,4,4,4,4,2,2,3,2,4,4,2,4,4,2,4,2,2,4,4,4,4,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,4,4,4,4,2,2,2,4,2,2,4,4,4,4,4,2,2,2,2,2,4,2,4,2,2,2,3,2,3,2,4,4,4,4,4,5,2,2,2,2,4,4,2,2,2,2,2,4,2,2,4,4,4,4,4,2,2,2,2,2,4,4,4,2,2,2,2,2,4,2,4,4,4,4,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,3,4,4,4,4,2,2,2,2,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,2,2,4,2,2,2,4,4,4,4,4,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,4,2,4,2,4,2,2,2,4,2,2,4,2,4,2,4,4,2,4,2,5,2,5,2,5,5,2,5,2,5,2,5,2,5,2,5,2,2,5,2,5,2,5,2,5,5,2,5,2,5,2,2,5,2,2,5,5,5,5,5,2,2,2,2,2,5,5,5,5,5,5,5,5,2,2,2,5,2,5,2,2,2,2,5,2,2,5,5,5,5,5,5,2,2,2,2,5,4,5,5,5,2,2,2,6,6,6,6,3,0,0,TRUE
