"","fVariableNumberI","variableNames","ipip_neuroticism","ipip_extraversion","ipip_openness","ipip_agreeableness","ipip_conscientiousness","swl","panas_pa","panas_na","pwb_prelwo","pwb_autonomy","pwb_emastery","pwb_pgrowth","pwb_plife","pwb_selfaccept"
"columnNames","","Variable","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"ipip_neuroticism","1.","Neuroticism","---","","","","","","","","","","","","",""
"ipip_extraversion","2.","Extraversion","-.47","---","","","","","","","","","","","",""
"ipip_openness","3.","Openness","-.07",".26","---","","","","","","","","","","",""
"ipip_agreeableness","4.","Agreeableness","-.21",".02",".23","---","","","","","","","","","",""
"ipip_conscientiousness","5.","Conscientiousness","-.54",".14",".04",".36","---","","","","","","","","",""
"swl","6.","Satisfaction with Life","-.57",".51",".13",".11",".35","---","","","","","","","",""
"panas_pa","7.","Positive Affect","-.52",".56",".22",".20",".45",".51","---","","","","","","",""
"panas_na","8.","Negative Affect",".76","-.40","-.06","-.22","-.42","-.51","-.35","---","","","","","",""
"pwb_prelwo","9.","Positive Relations","-.48",".58",".25",".38",".28",".55",".43","-.45","---","","","","",""
"pwb_autonomy","10.","Autonomy","-.53",".26",".27",".04",".34",".33",".27","-.49",".32","---","","","",""
"pwb_emastery","11.","Environmental Mastery","-.75",".56",".13",".22",".60",".69",".58","-.68",".64",".48","---","","",""
"pwb_pgrowth","12.","Personal Growth","-.42",".43",".55",".31",".40",".44",".49","-.39",".56",".51",".55","---","",""
"pwb_plife","13.","Purpose in Life","-.58",".50",".25",".28",".65",".63",".62","-.49",".63",".43",".78",".69","---",""
"pwb_selfaccept","14.","Self-Acceptance","-.74",".58",".20",".18",".46",".78",".56","-.64",".68",".54",".80",".60",".76","---"
