"","mean","sd","alpha","ipip_neuroticism","ipip_extraversion","ipip_openness","ipip_agreeableness","ipip_conscientiousness","ipip_n_anxiety","ipip_n_anger","ipip_n_depression","ipip_n_self_consciousness","ipip_n_immoderation","ipip_n_vulnerability","ipip_e_friendliness","ipip_e_gregariousness","ipip_e_assertiveness","ipip_e_activity_level","ipip_e_excitement_seeking","ipip_e_cheerfulness","ipip_o_imagination","ipip_o_artistic_interests","ipip_o_emotionality","ipip_o_adventurousness","ipip_o_intellect","ipip_o_liberalism","ipip_a_trust","ipip_a_morality","ipip_a_altruism","ipip_a_cooperation","ipip_a_modesty","ipip_a_sympathy","ipip_c_self_efficacy","ipip_c_orderliness","ipip_c_dutifulness","ipip_c_achievement_striving","ipip_c_self_discipline","ipip_c_cautiousness","swl","panas_pa","panas_na","pwb_prelwo","pwb_autonomy","pwb_emastery","pwb_pgrowth","pwb_plife","pwb_selfaccept"
"ipip_neuroticism",2.91008902077151,0.586565951166269,0.850859393967136,1,-0.474647982819355,-0.0707676385617002,-0.205399965886025,-0.538557893408175,0.858480360132693,0.730335235013984,0.829165703737254,0.744846464061884,0.524851677384164,0.843723805411629,-0.482869797434798,-0.296815989935396,-0.425615616891908,-0.374068361165451,-0.125454311349753,-0.434545263834274,0.0718721137008539,-0.0320976734050464,0.223165246272394,-0.352296305565837,-0.305322734260584,0.104276507651076,-0.433419529722446,-0.158161387458488,-0.279825658827872,-0.222580688033021,0.239163816202714,-0.018116334121141,-0.684584315397217,-0.193903298914584,-0.310317326877929,-0.43472792198305,-0.575517039198196,-0.262539080595479,-0.574223739183659,-0.517879038921448,0.757596492776151,-0.477032776236602,-0.533539482127399,-0.746076190784711,-0.415875509355594,-0.581275494150206,-0.736722908210941
"ipip_extraversion",3.37077151335312,0.538490810256841,0.837918279154787,-0.474647982819355,1,0.262279976560278,0.0191253388488423,0.141477996004508,-0.430565840706074,-0.132921254505016,-0.53361875508939,-0.708792095514402,0.106294542169042,-0.408394077020113,0.837286245214829,0.8248884535476,0.776969267071676,0.50644161206683,0.666677718571053,0.812105478162683,0.157924311631085,0.125086653292146,0.185272476190456,0.436221829694481,0.207957844677545,-0.094624956974253,0.44534110152282,-0.125027267557748,0.398440722959419,-0.172119443801576,-0.481220848809991,0.0774978486414904,0.457049282881169,-0.0717249457469157,0.0160447283862893,0.320145602979083,0.252833747290037,-0.3138906207454,0.505926618826149,0.558025204347514,-0.398469583489004,0.584529296364049,0.26199458034764,0.561320470481025,0.427348470511695,0.497417662343704,0.58105553385141
"ipip_openness",3.63937795362128,0.406562569694494,0.715142403863603,-0.0707676385617002,0.262279976560278,1,0.231784052019593,0.0359096441253091,-0.0113287717823117,-0.0125017401035509,-0.0784078960845211,-0.182671987949799,0.0596691654096458,-0.0835191310198853,0.218260570617263,0.0883947503248189,0.222027507282253,0.0902511966860818,0.234137873185749,0.327305342457414,0.732656691490943,0.655569814559631,0.665362455102845,0.575574270874614,0.656600034652747,0.555880745942103,0.21325364749582,0.026759056893603,0.346009494784545,0.0810707022253289,-0.084222131891583,0.451621332480854,0.250960540539999,-0.170788932663553,0.0457478019247697,0.133134648311066,0.0334138325278668,-0.0636013366819179,0.125268477168352,0.216701048892852,-0.0587492477706973,0.247147387369833,0.269030906288743,0.130557161882235,0.547410380321669,0.254224112489256,0.20337690635894
"ipip_agreeableness",3.63635014836795,0.446156757092115,0.786325078899786,-0.205399965886025,0.0191253388488423,0.231784052019593,1,0.355781962969335,-0.0698251035522745,-0.363049661368068,-0.229669567152141,0.0584160644626789,-0.237651102254614,-0.0767490660042766,0.25987508794259,0.0292002110776327,-0.206010967384879,0.105170342314636,-0.263130025366915,0.178224534985453,0.0130248459172779,0.307609254947999,0.268633734026919,0.161292354283308,0.127712649501566,0.0320521081701951,0.5949120817139,0.782436513930862,0.767600423025634,0.778238402413668,0.540252181420827,0.758550370795747,0.178548816236513,0.192981045709041,0.577708032446378,0.207522471666636,0.208604776405834,0.344340564400675,0.112134080390935,0.196873085772543,-0.215759450350267,0.383243075460009,0.0352968496179999,0.218281859824378,0.311063162220269,0.283795937016013,0.178921267172553
"ipip_conscientiousness",3.4851137487636,0.512139467249152,0.841966690793092,-0.538557893408175,0.141477996004508,0.0359096441253091,0.355781962969335,1,-0.281906055826318,-0.326600922782388,-0.525824441068611,-0.292392343777755,-0.554917258490335,-0.466163788688896,0.187990012681461,-0.0126028299774504,0.228724225934385,0.496485559018682,-0.284118910804828,0.111535851850129,-0.177049265331066,0.108030286730576,0.0188141606223683,0.0618700516382415,0.288843841890027,-0.148182635148987,0.237243016865458,0.453450384055146,0.384503076657228,0.311369589906867,-0.0120590599373201,0.151134651554309,0.733989488953805,0.740356858947112,0.716478363329972,0.800398236233472,0.844229530431789,0.677964327838572,0.34958216684556,0.45481517637281,-0.417413201572419,0.276422267704869,0.343116295984903,0.597337702487255,0.399684557177476,0.654869855716802,0.460308144840704
"ipip_n_anxiety",3.09762611275964,0.734113696450417,0.826746598222159,0.858480360132693,-0.430565840706074,-0.0113287717823117,-0.0698251035522745,-0.281906055826318,1,0.579096280917377,0.624393184550729,0.642693936402288,0.289898241063072,0.76798410261253,-0.397034287344313,-0.270133244785795,-0.346694750769285,-0.227898858145567,-0.262456923465426,-0.418753649008333,0.0832469805659513,0.0618041270618454,0.277544397257038,-0.382687312454874,-0.207670228578084,0.103536130362904,-0.380274992684022,0.0110818181816518,-0.124036812587929,-0.0918202473297164,0.233340777794165,0.0662208013059662,-0.486019493617961,-0.00631411509800773,-0.105385927322146,-0.244160057903459,-0.391722166188183,-0.0538968084137042,-0.47231087951144,-0.393698143331249,0.638705988588841,-0.352517074980858,-0.410641850299003,-0.57990661692908,-0.287593691045215,-0.378588295514305,-0.569826781219575
"ipip_n_anger",2.85281899109792,0.799925260568391,0.875365203992072,0.730335235013984,-0.132921254505016,-0.0125017401035509,-0.363049661368068,-0.326600922782388,0.579096280917377,1,0.485166581324792,0.313924178440099,0.400358939437681,0.527645783845426,-0.189018743440159,-0.106738761858497,-0.0416536643381877,-0.0737913337518871,-0.00939739213421134,-0.170087398172589,0.0501539298489165,-0.0597238153991326,0.291672171589153,-0.193910294478658,-0.20671599637763,0.0624288031366465,-0.343994243608751,-0.23949515413511,-0.256795139255018,-0.486914356596538,-0.055354988755596,-0.127331802494512,-0.370862839688558,-0.101786296875079,-0.273046585926384,-0.193679084427122,-0.324148590721017,-0.254978738156387,-0.312946826173728,-0.286964482062445,0.543949435038743,-0.271545035021814,-0.246249922588164,-0.429110317764573,-0.217479126943428,-0.299891937374368,-0.38699665345672
"ipip_n_depression",2.60593471810089,0.879170554996702,0.896473654337881,0.829165703737254,-0.53361875508939,-0.0784078960845211,-0.229669567152141,-0.525824441068611,0.624393184550729,0.485166581324792,1,0.630532973773335,0.316889772817963,0.644669075282893,-0.563281768919193,-0.352022013499529,-0.424256868867681,-0.430432890168379,-0.0829402604571814,-0.556819943317096,0.0456157192648265,-0.0511074610907358,0.0687071172780701,-0.299391519435338,-0.195419788569066,0.113858776157889,-0.495580562497663,-0.219975154171809,-0.340984391870609,-0.176722974159937,0.32711061741319,-0.0880487785006815,-0.626047390944782,-0.237500282870868,-0.311981080410728,-0.481290928326687,-0.532943725773845,-0.205798320653422,-0.673388082855848,-0.562509263073395,0.701013774522156,-0.58703195048621,-0.451655385976084,-0.759260851685886,-0.477732831867821,-0.699102192423028,-0.855863621776353
"ipip_n_self_consciousness",2.9433234421365,0.774149836581132,0.833877748115768,0.744846464061884,-0.708792095514402,-0.182671987949799,0.0584160644626789,-0.292392343777755,0.642693936402288,0.313924178440099,0.630532973773335,1,0.160162265966709,0.612345412872549,-0.659818291813659,-0.501353777797549,-0.706730261241215,-0.411212850826304,-0.355193498920893,-0.511604390184369,-0.0243484850117103,-0.032786400914896,0.0144689749191318,-0.418776434013724,-0.293711190275229,0.0332857166396458,-0.33968380910172,0.0933892849415115,-0.205020271207181,0.138712559692056,0.466712731256656,0.0532536611420537,-0.574484409550033,-0.0212644256514288,-0.0816613445230486,-0.33047233803548,-0.374101877393691,0.040527468064457,-0.461534418359036,-0.453746215479655,0.560042740843268,-0.47162506758093,-0.531359344935452,-0.593316219577794,-0.404533630290382,-0.4758649612891,-0.630725360225425
"ipip_n_immoderation",3.23560830860534,0.703546924300481,0.773170842240975,0.524851677384164,0.106294542169042,0.0596691654096458,-0.237651102254614,-0.554917258490335,0.289898241063072,0.400358939437681,0.316889772817963,0.160162265966709,1,0.27844913211912,0.0190130300910004,0.131999790577819,0.0349459598916362,-0.129692729076081,0.264230077884082,0.112419826298983,0.142570445328629,-0.0740200710015857,0.172512655776398,0.01899806537102,-0.129309646407096,0.0925003157500919,-0.0656392806534874,-0.296608824695102,-0.136434454895787,-0.314912287762362,-0.142059131089266,-0.0328572790734759,-0.399847070364148,-0.367561107438546,-0.415736176939225,-0.328620335397395,-0.472969529023401,-0.534215326631085,-0.155475062136608,-0.164248530632915,0.322714494328321,-0.068045545997019,-0.286025170995724,-0.319794637029443,-0.0979191904855604,-0.241879714347137,-0.244320138226117
