"","variable","alpha","mean","sd"
"6","N: Anxiety",0.826746598222159,3.09762611275964,0.734113696450417
"7","N: Anger",0.875365203992072,2.85281899109792,0.799925260568391
"8","N: Depression",0.896473654337881,2.60593471810089,0.879170554996702
"9","N: Self-consciousness",0.833877748115768,2.9433234421365,0.774149836581132
"10","N: Immoderation",0.773170842240975,3.23560830860534,0.703546924300481
"11","N: Vulnerability",0.846709810326666,2.72522255192878,0.746809898654264
"12","E: Friendliness",0.875149216537204,3.59940652818991,0.7780850296784
"13","E: Gregariousness",0.873103860200274,3.31721068249258,0.837833405636127
"14","E: Assertiveness",0.842643812647058,3.24362017804154,0.7428403969265
"15","E: Activity Level",0.72057074263503,3.01275964391691,0.569604952731332
"16","E: Excitement Seeking",0.816796537692674,3.29703264094955,0.723411709821999
"17","E: Cheerfulness",0.823931307578018,3.75459940652819,0.665464774299121
"18","O: Imagination",0.819291011518028,3.73204747774481,0.70545047926239
"19","O: Artistic Interests",0.753562769915703,3.9566765578635,0.623516042450295
"20","O: Emotionality",0.767738684616104,3.76409495548961,0.622866713942536
"21","O: Adventurousness",0.759816734027032,3.47448071216617,0.591458382498771
"22","O: Intellect",0.789159557773766,3.69762611275964,0.644847021564694
"23","O: Liberalism",0.649871742683197,3.21134190570392,0.603541641241838
"24","A: Trust",0.847553705139204,3.43204747774481,0.695679453844269
"25","A: Morality",0.773442561050019,3.84688427299703,0.621009231601325
"26","A: Altruism",0.794735918787853,4.0272997032641,0.567022409510256
"27","A: Cooperation",0.748413951190747,3.54688427299703,0.667259918672927
"28","A: Modesty",0.796398359750661,3.28041543026706,0.701127369889963
"29","A: Sympathy",0.725508403751509,3.68456973293769,0.585132673730405
"30","C: Self-Efficacy",0.804035048104352,3.69287833827893,0.565850886917925
"31","C: Orderliness",0.836181213394714,3.33175074183976,0.77986237160017
"32","C: Dutifulness",0.686684491813693,3.94362017804154,0.504529434764728
"33","C: Achievement Striving",0.840365100193528,3.67151335311573,0.701415507991465
"34","C: Self-Discipline",0.886760228036818,3.00652818991098,0.8314245484161
"35","C: Cautiousness",0.797290445572149,3.26439169139466,0.671602340127024
