"","SL","PA","NA","PR","AU","EM","PG","PL","SA","uniques"
"N: Anxiety",0.0179644417687428,-0.00357170066641534,-0.0149572133771739,0.0713314765798358,0.0590162169152834,0.0181102965518099,-0.0063593742085827,0.0507960452205359,0.0878327895860882,0.21329806616801
"N: Anger",0.0501992506681149,-0.0284483178732945,-0.0215808319017437,0.0751173681697459,0.173019915013645,0.0500764572392089,0.0432531638801439,0.0380076801698849,0.130366171808636,0.334761618175345
"N: Depression",-0.27984235223655,-0.0872333487717204,0.115554915214701,-0.200074303429116,-0.0275664572101421,-0.135460804937805,-0.134171305352889,-0.241211357256787,-0.368754679745115,0.269386877915076
"N: Self-consciousness",0.140815325737112,0.108917771637906,-0.0171124271447598,-0.0187587821947901,-0.198337341944815,0.0759963088221999,-0.0142751165993321,0.0535375182468339,0.0380391568126955,0.244118941260836
"N: Immoderation",0.0888325687729655,0.0503105763379642,-0.0904600633649918,0.0677724430141576,0.00560960723982516,0.0693928465532082,0.117234303022445,0.115291651960356,0.0955691762725875,0.491213688568023
"N: Vulnerability",0.00181001947511999,-0.031442472262425,0.0345028895859406,0.0156186496814935,-0.0368841360954747,-0.0788033476175795,-0.0229983002453523,-0.00530514848988297,0.0421704928508873,0.273719203634388
"E: Friendliness",-0.0346489165275865,-0.0334595334698385,-0.000917736280379295,0.171022019108667,-0.0165009580295666,0.0410178709014125,-0.0709289071602023,0.0421362857663089,0.0341753125712379,0.232100013191825
"E: Gregariousness",-0.0519401398311145,-0.11040279820118,-0.0149659804145289,-0.0128974928511184,-0.150092273480604,-0.0355156881539124,-0.115871632458675,-0.0615500342198041,-0.0671210958059036,0.271072087314463
"E: Assertiveness",-0.081083865137258,-0.0302240824903636,0.0336586190375248,0.00601979287099628,0.182194301461091,-0.0256478852279821,0.0965621303343792,-0.00268692758023645,0.00963116622161686,0.293191811149793
"E: Activity Level",-0.0246464050325829,0.080428420343077,0.00698073136207832,0.00798862016727832,0.0501004513204354,0.043000125679965,0.0666909532871223,0.0617195198538047,0.0306747714678747,0.545477115782084
"E: Excitement Seeking",-0.0331468036032829,0.0146273958672397,0.0471243649772734,-0.190371198375734,-0.067310256181016,-0.115498393008448,-0.0328952104905913,-0.118207611431241,-0.132711429941372,0.376693019614778
"E: Cheerfulness",0.256494007171347,0.089382851915982,-0.0838788646690165,0.0556690358076397,0.0197379068479779,0.119870404776277,0.0682616352618292,0.106212763840644,0.161057770322583,0.299073770788151
"O: Imagination",0.0687806367467653,0.0107259581317615,-0.00359250320201329,-0.0356068554809404,-0.0957975708630716,-0.00488306256591543,-0.0942497602558522,-0.0172533186538008,-0.0401402755057144,0.412438245466441
"O: Artistic Interests",-0.00787507815761953,0.0559368083778604,-0.024669109741739,-0.0394481368259106,-0.103537531401401,-0.0636351984918497,-0.0815436678512598,-0.0559830778716799,0.0148778546757854,0.53846683351382
"O: Emotionality",0.0359408168650946,0.0245861111194479,0.026345855073291,0.143144553775224,0.136425091907659,0.0178467747413048,0.115174168426881,0.122574204105625,0.129858263891339,0.397955848897089
"O: Adventurousness",-0.00853391907113321,-0.0233206790322781,0.00985408830852353,-0.0689317348038276,-0.035874908842661,0.00439123924065365,0.111208986320672,0.0222196880822459,-0.0359595461604818,0.526398675668856
"O: Intellect",-0.0559614088778758,-0.0385400209363287,0.0427975876189217,-0.00412917907771064,0.142015873151133,0.0224416159211837,0.0472211431193645,-0.036283263503896,-0.0774889381302684,0.454411541461413
"O: Liberalism",-0.0292115189048186,-0.0284876627576143,-0.0432450034754558,0.0198633960810072,-0.0195642809322756,0.0270433574562853,-0.0714605380520091,-0.0181233075010356,0.0202004342182042,0.60312924340812
"A: Trust",0.0504054873945429,0.0070812733178428,-0.00394892462881792,0.13796353333545,-0.0646468901596568,0.0529451267902871,0.0129968082336108,0.0300761925938544,0.0680946947764658,0.428273460269696
"A: Morality",-0.0236505755953313,-0.0742927430541678,-0.0606254287199699,-0.0324385790622066,0.11217177172626,0.0672522017339858,-0.0222754566746785,0.060025948139476,0.0675154046671967,0.310518180623221
"A: Altruism",-0.00723320125584834,0.0712474727128122,0.0653674717910047,0.0347588697573917,0.0437002008244669,-0.0180507772885374,0.0723557480705133,0.0213009159777365,0.0219980539716874,0.240661489571799
"A: Cooperation",0.0316356149401261,-0.00131537833132959,-0.0279944175548824,-0.0723847058968133,-0.18686658832092,-0.0356759250139319,-0.0613377715229745,-0.0112860484416135,-0.00168645892230638,0.326487860082648
"A: Modesty",-0.105502312373693,0.00913988236368621,-0.0296121425518067,-0.105485446990619,0.0907089274827977,-0.0137427625689444,-0.0350603917871208,-0.088645883618626,-0.161911396492769,0.426904282910727
"A: Sympathy",0.0714525872454132,-0.0030954656552707,0.0876031150973908,0.0445621785352914,0.0247640382871253,-0.0682349704606312,0.06414354084959,0.0137383259725654,0.0435399170565076,0.316399216865284
"C: Self-Efficacy",0.0163565328663682,-0.0501978676285805,0.00500755146025592,0.0723836677152332,0.141962843156401,0.0491174572859246,0.109474326003214,0.0692037468705557,0.0584077928390136,0.256062508343767
"C: Orderliness",-0.0932079811117406,0.00770328408910281,-0.0244082231797312,-0.0537011175532751,-0.0957837341629859,-0.0891502640051117,-0.0457112532581107,-0.11698780176899,-0.0555966101436429,0.357717530826472
"C: Dutifulness",-0.0866446325318231,-0.0698591189188581,0.00744127103403215,-0.0464258704425053,0.111284954083152,-0.0109129801335412,-0.0195620607921829,-0.0601525165967664,-0.0096881575029246,0.354625098711067
"C: Achievement Striving",0.132626515806716,0.157450581519204,0.066285462330052,0.0074930360287785,0.0393138123954992,0.0402095995985398,0.115928323069961,0.208822294929523,0.0802375632098577,0.294600885051706
"C: Self-Discipline",0.0461733154486982,0.0774345942598946,0.00152415928254855,-0.0407012521278007,-0.11882330130043,0.0452485803969293,-0.0614992393500704,-0.0239326737440799,-0.0342944271034034,0.251569183697248
"C: Cautiousness",-0.0123407635202371,-0.151571568229407,-0.0455126561500717,0.0811968515715034,0.0129753180581306,-0.00847346549414246,-0.0567449026714358,-0.041853164801128,-0.0103460260001994,0.35281168288407
