"Year","City","Sport","Discipline","NOC","Event","Event.gender","Medal","isgold"
1924,"Chamonix","Skating","Figure skating","AUT","individual","M","Silver",FALSE
1924,"Chamonix","Skating","Figure skating","AUT","individual","W","Gold",TRUE
1924,"Chamonix","Skating","Figure skating","AUT","pairs","X","Gold",TRUE
1924,"Chamonix","Bobsleigh","Bobsleigh","BEL","four-man","M","Bronze",FALSE
1924,"Chamonix","Ice Hockey","Ice Hockey","CAN","ice hockey","M","Gold",TRUE
1924,"Chamonix","Biathlon","Biathlon","FIN","military patrol","M","Silver",FALSE
1924,"Chamonix","Skating","Figure skating","FIN","pairs","X","Silver",FALSE
1924,"Chamonix","Skating","Speed skating","FIN","10000m","M","Gold",TRUE
1924,"Chamonix","Skating","Speed skating","FIN","10000m","M","Silver",FALSE
1924,"Chamonix","Skating","Speed skating","FIN","1500m","M","Gold",TRUE
1924,"Chamonix","Skating","Speed skating","FIN","5000m","M","Gold",TRUE
1924,"Chamonix","Skating","Speed skating","FIN","5000m","M","Silver",FALSE
1924,"Chamonix","Skating","Speed skating","FIN","500m","M","Bronze",FALSE
1924,"Chamonix","Skating","Speed skating","FIN","combined (4 events)","M","Bronze",FALSE
1924,"Chamonix","Skating","Speed skating","FIN","combined (4 events)","M","Gold",TRUE
1924,"Chamonix","Skiing","Cross Country S","FIN","18km","M","Bronze",FALSE
1924,"Chamonix","Biathlon","Biathlon","FRA","military patrol","M","Bronze",FALSE
1924,"Chamonix","Curling","Curling","FRA","curling","M","Bronze",FALSE
1924,"Chamonix","Skating","Figure skating","FRA","pairs","X","Bronze",FALSE
1924,"Chamonix","Bobsleigh","Bobsleigh","GBR","four-man","M","Silver",FALSE
1924,"Chamonix","Curling","Curling","GBR","curling","M","Gold",TRUE
1924,"Chamonix","Ice Hockey","Ice Hockey","GBR","ice hockey","M","Bronze",FALSE
1924,"Chamonix","Skating","Figure skating","GBR","individual","W","Bronze",FALSE
1924,"Chamonix","Skating","Speed skating","NOR","10000m","M","Bronze",FALSE
1924,"Chamonix","Skating","Speed skating","NOR","1500m","M","Bronze",FALSE
1924,"Chamonix","Skating","Speed skating","NOR","1500m","M","Silver",FALSE
1924,"Chamonix","Skating","Speed skating","NOR","5000m","M","Bronze",FALSE
1924,"Chamonix","Skating","Speed skating","NOR","500m","M","Bronze",FALSE
1924,"Chamonix","Skating","Speed skating","NOR","500m","M","Silver",FALSE
1924,"Chamonix","Skating","Speed skating","NOR","combined (4 events)","M","Silver",FALSE
1924,"Chamonix","Skiing","Cross Country S","NOR","18km","M","Gold",TRUE
1924,"Chamonix","Skiing","Cross Country S","NOR","18km","M","Silver",FALSE
1924,"Chamonix","Skiing","Cross Country S","NOR","50km","M","Bronze",FALSE
1924,"Chamonix","Skiing","Cross Country S","NOR","50km","M","Gold",TRUE
1924,"Chamonix","Skiing","Cross Country S","NOR","50km","M","Silver",FALSE
1924,"Chamonix","Skiing","Nordic Combined","NOR","individual","M","Bronze",FALSE
1924,"Chamonix","Skiing","Nordic Combined","NOR","individual","M","Gold",TRUE
1924,"Chamonix","Skiing","Nordic Combined","NOR","individual","M","Silver",FALSE
1924,"Chamonix","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Gold",TRUE
1924,"Chamonix","Skiing","Ski Jumping","NOR","K90 individual (70m)","M","Silver",FALSE
1924,"Chamonix","Biathlon","Biathlon","SUI","military patrol","M","Gold",TRUE
